participant,intent_id,date,symbol,side,filled_qty,avg_price,reference_source_class,reference_file,reference_sha256,strict_eligible,blockers
'@NasdaqMomentum_Max,NasdaqMomentum_Max-00001,2026-09-17,QQQ,buy,120,715.96,EXCHANGE-PUBLISHED,data/real/prices/yahoo/QQQ.json,fc35201ba17fae5f470d2f267e1e079449fb7c35cfff9e8f2caff2244c437134,False,NO_OBSERVED_BID_ASK_SIZE_RECEIPT;NO_PRICE_REDISTRIBUTION_EVIDENCE;NO_PRE_EXECUTION_SUBMISSION_TIMESTAMP;NO_T_PLUS_ONE_CASH_SETTLEMENT_DATE;EXECUTION_PRICE_AND_LIQUIDITY_MODELLED;LEGACY_MODEL_NOT_STRICT_EXECUTION_ENGINE
'@NasdaqMomentum_Max,NasdaqMomentum_Max-00002,2026-09-18,QQQ,buy,40,718.84,EXCHANGE-PUBLISHED,data/real/prices/yahoo/QQQ.json,fc35201ba17fae5f470d2f267e1e079449fb7c35cfff9e8f2caff2244c437134,False,NO_OBSERVED_BID_ASK_SIZE_RECEIPT;NO_PRICE_REDISTRIBUTION_EVIDENCE;NO_PRE_EXECUTION_SUBMISSION_TIMESTAMP;NO_T_PLUS_ONE_CASH_SETTLEMENT_DATE;EXECUTION_PRICE_AND_LIQUIDITY_MODELLED;LEGACY_MODEL_NOT_STRICT_EXECUTION_ENGINE
'@DowNasdaq_SpreadMax,DowNasdaq_SpreadMax-00001,2026-09-17,QQQ,buy,120,715.96,EXCHANGE-PUBLISHED,data/real/prices/yahoo/QQQ.json,fc35201ba17fae5f470d2f267e1e079449fb7c35cfff9e8f2caff2244c437134,False,NO_OBSERVED_BID_ASK_SIZE_RECEIPT;NO_PRICE_REDISTRIBUTION_EVIDENCE;NO_PRE_EXECUTION_SUBMISSION_TIMESTAMP;NO_T_PLUS_ONE_CASH_SETTLEMENT_DATE;EXECUTION_PRICE_AND_LIQUIDITY_MODELLED;LEGACY_MODEL_NOT_STRICT_EXECUTION_ENGINE
'@DowNasdaq_SpreadMax,DowNasdaq_SpreadMax-00002,2026-09-17,SPY,buy,80,763.16,EXCHANGE-PUBLISHED,data/real/prices/yahoo/SPY.json,3931ea57b2a1e13aeae86b8e45a8f43ed01fa8803291277dbba43b2e25ef71d2,False,NO_OBSERVED_BID_ASK_SIZE_RECEIPT;NO_PRICE_REDISTRIBUTION_EVIDENCE;NO_PRE_EXECUTION_SUBMISSION_TIMESTAMP;NO_T_PLUS_ONE_CASH_SETTLEMENT_DATE;EXECUTION_PRICE_AND_LIQUIDITY_MODELLED;LEGACY_MODEL_NOT_STRICT_EXECUTION_ENGINE
'@VIXRegime_LiveMax,VIXRegime_LiveMax-00001,2026-09-17,QQQ,buy,40,715.96,EXCHANGE-PUBLISHED,data/real/prices/yahoo/QQQ.json,fc35201ba17fae5f470d2f267e1e079449fb7c35cfff9e8f2caff2244c437134,False,NO_OBSERVED_BID_ASK_SIZE_RECEIPT;NO_PRICE_REDISTRIBUTION_EVIDENCE;NO_PRE_EXECUTION_SUBMISSION_TIMESTAMP;NO_T_PLUS_ONE_CASH_SETTLEMENT_DATE;EXECUTION_PRICE_AND_LIQUIDITY_MODELLED;LEGACY_MODEL_NOT_STRICT_EXECUTION_ENGINE
'@VIXRegime_LiveMax,VIXRegime_LiveMax-00002,2026-09-18,QQQ,buy,80,718.84,EXCHANGE-PUBLISHED,data/real/prices/yahoo/QQQ.json,fc35201ba17fae5f470d2f267e1e079449fb7c35cfff9e8f2caff2244c437134,False,NO_OBSERVED_BID_ASK_SIZE_RECEIPT;NO_PRICE_REDISTRIBUTION_EVIDENCE;NO_PRE_EXECUTION_SUBMISSION_TIMESTAMP;NO_T_PLUS_ONE_CASH_SETTLEMENT_DATE;EXECUTION_PRICE_AND_LIQUIDITY_MODELLED;LEGACY_MODEL_NOT_STRICT_EXECUTION_ENGINE
'@SOFRPivot_Rider,SOFRPivot_Rider-00001,2026-09-17,QQQ,buy,120,715.96,EXCHANGE-PUBLISHED,data/real/prices/yahoo/QQQ.json,fc35201ba17fae5f470d2f267e1e079449fb7c35cfff9e8f2caff2244c437134,False,NO_OBSERVED_BID_ASK_SIZE_RECEIPT;NO_PRICE_REDISTRIBUTION_EVIDENCE;NO_PRE_EXECUTION_SUBMISSION_TIMESTAMP;NO_T_PLUS_ONE_CASH_SETTLEMENT_DATE;EXECUTION_PRICE_AND_LIQUIDITY_MODELLED;LEGACY_MODEL_NOT_STRICT_EXECUTION_ENGINE
'@SOFRPivot_Rider,SOFRPivot_Rider-00002,2026-09-17,TSLA,buy,120,367.5,EXCHANGE-PUBLISHED,data/real/prices/yahoo/TSLA.json,6916f4c63d07180ce9efd08a9e88d50b7d43121d02443b933214c54bbb6e84f7,False,NO_OBSERVED_BID_ASK_SIZE_RECEIPT;NO_PRICE_REDISTRIBUTION_EVIDENCE;NO_PRE_EXECUTION_SUBMISSION_TIMESTAMP;NO_T_PLUS_ONE_CASH_SETTLEMENT_DATE;EXECUTION_PRICE_AND_LIQUIDITY_MODELLED;LEGACY_MODEL_NOT_STRICT_EXECUTION_ENGINE
'@SOFRPivot_Rider,SOFRPivot_Rider-00003,2026-09-18,QQQ,sell,80,718.83,EXCHANGE-PUBLISHED,data/real/prices/yahoo/QQQ.json,fc35201ba17fae5f470d2f267e1e079449fb7c35cfff9e8f2caff2244c437134,False,NO_OBSERVED_BID_ASK_SIZE_RECEIPT;NO_PRICE_REDISTRIBUTION_EVIDENCE;NO_PRE_EXECUTION_SUBMISSION_TIMESTAMP;NO_T_PLUS_ONE_CASH_SETTLEMENT_DATE;EXECUTION_PRICE_AND_LIQUIDITY_MODELLED;LEGACY_MODEL_NOT_STRICT_EXECUTION_ENGINE
'@SOFRPivot_Rider,SOFRPivot_Rider-00004,2026-09-18,TSLA,sell,120,368.98,EXCHANGE-PUBLISHED,data/real/prices/yahoo/TSLA.json,6916f4c63d07180ce9efd08a9e88d50b7d43121d02443b933214c54bbb6e84f7,False,NO_OBSERVED_BID_ASK_SIZE_RECEIPT;NO_PRICE_REDISTRIBUTION_EVIDENCE;NO_PRE_EXECUTION_SUBMISSION_TIMESTAMP;NO_T_PLUS_ONE_CASH_SETTLEMENT_DATE;EXECUTION_PRICE_AND_LIQUIDITY_MODELLED;LEGACY_MODEL_NOT_STRICT_EXECUTION_ENGINE
